조사지역,정점,위도,경도,자갈(%),모래(%),실트(%),점토(%),평균,분급,퇴적물유형,IL(%),AVS(%),TOC(%),출현 종수,서식밀도,생체량,다양도,ISEP 등급
무의도 하나개,중,37°23′07.50″N,126°24′02.00″E,0,91.2,6.6,2.2,3.4,0.5,S,2.6,0.025,0.359,21,3280,358.01,1.5,2
무의도 하나개,하,37°23′04.50″N,126°23′36.50″E,0,95.5,3.7,0.8,3.2,0.5,S,1.5,0,0.174,10,710,8.23,1.7,7
무의도 큰무리,상,37°23′52.00″N,126°25′30.00″E,1.5,17.6,68,12.9,5.2,2.7,(g)M,3.2,0.033,0.527,8,340,186.34,1.8,2
무의도 큰무리,중,37°24′01.00″N,126°26′30.00″E,0,37.3,52.3,10.4,4.8,1.8,sZ,3.1,0.069,0.483,20,1100,266.49,2.1,5
무의도 큰무리,하,37°24′10.00″N,126°27′30.00″E,0,69.7,25.3,5,3.9,1.1,zS,2.1,0.008,0.246,22,570,230.69,2.6,3
대부도 방아머리,상,37°16′42.00″N,126°33′37.00″E,0.2,51.1,42.5,6.2,4.1,1.3,(g)mS,2,0,0.206,21,1060,154.6,2.2,3
대부도 방아머리,중,37°17′06.00″N,126°33′39.00″E,1.1,70.2,22.1,6.6,4,1.4,(g)mS,2.1,0.007,0.234,10,280,51,2,4
대부도 방아머리,하,37°17′30.00″N,126°33′41.00″E,0.8,78.5,15.7,5,3.2,1.8,(g)mS,1.7,0,0.207,9,130,783.02,2.1,2
영흥도 내리,상,37°16′16.00″N,126°29′42.00″E,51.6,36.4,7.4,4.6,-0.3,2.9,msG,2.6,0.034,0.433,10,1000,170.96,1.6,2
영흥도 내리,중,37°16′13.00″N,126°30′10.00″E,0.6,14.5,55.1,29.8,6.8,3.2,(g)M,6.3,0.003,1.147,18,1440,240.27,1.6,6
영흥도 내리,하,37°16′10.00″N,126°30′38.00″E,68.5,15.5,12.6,3.4,-0.6,3.3,mG,2.2,0,0.296,12,1010,198.14,1.7,4
선재도,상,37°14′39.00″N,126°31′28.00″E,18.3,19.6,52.6,9.5,3.1,3.8,gM,2.2,0,0.36,9,270,70.47,1.9,3
선재도,중,37°14′38.00″N,126°31′02.00″E,3.9,17.1,70.2,8.8,4.8,2.2,(g)M,3.5,0,0.443,13,240,168.51,2.3,3
선재도,하,37°14′37.00″N,126°30′36.00″E,0.5,44.3,47,8.2,4.5,1.6,(g)M,3.2,0.009,0.355,12,570,129.2,1.6,2
대이작도 큰풀안,상,37°10′04.50″N,126°15′59.50″E,0,100,0,0,2,0.4,S,0.4,0,0.101,4,60,101.72,1.3,1
대이작도 큰풀안,중,37°10′02.50″N,126°15′58.50″E,0,93.9,4.5,1.6,2.3,0.7,S,1.1,0.005,0.25,27,3400,296.15,1.7,3
대이작도 큰풀안,하,37°10′00.50″N,126°15′57.50″E,0,100,0,0,2.6,0.3,S,1,0,0.201,20,1320,43.99,2.3,2
승봉도 이일레,상,37°09′54.50″N,126°18′06.50″E,0,100,0,0,2.1,0.4,S,0.3,0,0.094,4,40,31.5,1.4,1
승봉도 이일레,중,37°09′50.50″N,126°18′04.50″E,0,100,0,0,2.5,0.2,S,1,0,0.128,14,3800,42.48,1.8,5
승봉도 이일레,하,37°09′46.50″N,126°18′02.50″E,0,100,0,0,2.5,0.2,S,1.2,0,0.23,16,2410,32.44,2,5
제부도,상,37°09′59.50″N,126°36′58.50″E,1.7,45.5,43.8,9,4.2,2.4,(g)M,3.4,0,0.318,12,500,4.87,1.7,4
제부도,중,37°09′58.00″N,126°36′45.50″E,0.4,23,60.2,16.4,5.5,2.7,(g)M,5.1,0,0.594,8,490,50.29,1.5,5
제부도,하,37°09′56.50″N,126°36′32.50″E,0,33.5,51.2,15.3,5.1,2.8,sZ,4.3,0.002,0.539,13,340,15.37,2.3,5
화성시 송교리,상,37°09′18.00″N,126°39′56.00″E,0.6,24.9,67.9,6.6,4.6,1.5,(g)M,2.8,0,0.285,6,120,238.53,1.6,3
화성시 송교리,중,37°08′41.00″N,126°39′30.00″E,0.2,48.9,40,10.9,4.6,1.9,(g)M,3.5,0,0.371,24,2630,139.81,2.2,4
화성시 송교리,하,37°08′04.00″N,126°39′04.00″E,0,16.6,67.6,15.8,5.7,2.2,sZ,4.8,0,0.545,10,230,170.74,2.2,2
평택항 배후단지,상,36°54′43.50″N,126°53′27.50″E,0,6.8,60.7,32.5,7.2,2.9,M,6.5,0,0.817,11,1160,67.62,1.6,4
평택항 배후단지,중,36°54′25.00″N,126°53′33.50″E,0,1.5,70.5,28,6.9,2.5,Z,6.4,0,0.868,16,3470,333.28,0.6,7
평택항 배후단지,하,36°54′06.50″N,126°53′39.50″E,0,1.3,66.8,31.9,7.2,2.7,Z,6,0,0.707,14,660,183.5,1.8,5
시흥시 정왕동,상,37°20′07.00″N,126°41′16.00″E,0,41.2,53.5,5.3,4.3,1.2,sZ,2.1,0.009,0.182,11,980,10.28,1.4,6
시흥시 정왕동,중,37°20′21.00″N,126°40′56.00″E,0,59.9,35.7,4.4,4,1,zS,2.3,0.002,0.24,14,460,361.21,2.1,2
시흥시 정왕동,하,37°20′35.00″N,126°40′36.00″E,0,46.8,44.3,8.9,4.4,2,sZ,3.1,0.042,0.336,21,2990,138.57,2.2,3
태안군 관리,상,36°54′00.00″N,126°16′28.00″E,0,91.3,7.3,1.4,3.5,0.4,S,2.2,0,0.268,12,370,29.48,2,5
태안군 관리,중,36°54′14.00″N,126°16′21.00″E,0,92,5.5,2.5,3.4,0.6,S,2,0.018,0.356,8,280,24.37,1.7,1
태안군 관리,하,36°54′28.00″N,126°16′14.00″E,0,95.2,3.9,0.9,3.3,0.4,S,1.7,0,0.152,8,410,1.01,1.5,7
태안군 신두리,상,36°50′48.00″N,126°11′39.00″E,0,100,0,0,2.1,0.4,S,1.2,0,0.039,11,2400,187.56,1.3,5
태안군 신두리,중,36°50′51.00″N,126°11′32.50″E,0,100,0,0,2.5,0.3,S,1.2,0,0.172,13,1350,185.56,1.1,6
태안군 신두리,하,36°50′54.00″N,126°11′26.00″E,0.2,99.8,0,0,2.4,0.4,(g)S,1.5,0,0.134,11,390,878.21,2.2,2
태안군 송현리,상,36°45′22.00″N,126°10′03.00″E,0,28.2,67.1,4.7,4.3,1.1,sZ,2.5,0,0.312,3,50,230.17,1,5
태안군 송현리,중,36°44′46.00″N,126°09′57.50″E,0.3,58.5,29.8,11.4,4.3,2.3,(g)mS,3.6,0,0.483,15,1440,59.65,2.1,5
태안군 송현리,하,36°44′10.00″N,126°09′52.00″E,1.5,58.5,22.7,17.3,4.9,2.9,(g)mS,5.1,0.05,0.738,20,1120,1693.12,2.1,1
태안군 법산리,상,36°44′37.00″N,126°11′15.00″E,0,31.7,53.8,14.5,5.3,2.5,sZ,4.5,0,0.573,9,330,60.72,1.6,1
태안군 법산리,중,36°44′28.00″N,126°10′49.00″E,0,33,53.3,13.7,5.2,2.2,sZ,3.3,0.008,0.444,13,660,10.23,2,4
태안군 법산리,하,36°44′19.00″N,126°10′23.00″E,0,48.1,35.2,16.7,5.2,2.7,sZ,4.4,0.002,0.57,21,2140,43.21,2,5
태안군 도황리,상,36°42′27.00″N,126°12′00.00″E,0,54.8,38.7,6.5,4.1,1.3,zS,2.7,0.002,0.255,19,900,371.77,2.1,4
태안군 도황리,중,36°42′44.00″N,126°11′55.00″E,0,70.3,23.1,6.6,4,1.4,zS,2.8,0.008,0.344,14,400,409.09,2.1,4
태안군 도황리,하,36°43′01.00″N,126°11′50.00″E,0.2,66.4,26.5,6.9,3.9,1.5,(g)mS,3,0,0.345,15,2590,81.55,1.9,6
태안군 용신리,상,36°42′58.00″N,126°14′43.00″E,0,59.1,38.7,2.2,3.2,1.3,zS,1.8,0,0.509,14,630,246.12,1.9,5
태안군 용신리,중,36°42′36.00″N,126°14′46.00″E,0,93.6,3.5,2.9,2.9,0.6,S,2.6,0,0.308,13,460,970.41,1.9,3
태안군 용신리,하,36°42′14.00″N,126°14′49.00″E,0,98.1,0.9,1,2.7,0.4,S,1.4,0,0.171,9,300,171.93,1.8,1
태안군 장곡리,상,36°25′07.00″N,126°23′24.00″E,0,43.4,53.1,3.5,4.1,1.3,sZ,2.2,0,0.208,15,670,257.87,1.9,5
태안군 장곡리,중,36°24′45.00″N,126°23′24.00″E,0,58,31.5,10.5,4,2.3,zS,2.9,0.01,0.48,6,590,285.72,1.5,4
태안군 장곡리,하,36°24′23.00″N,126°23′24.00″E,49.6,27.1,17,6.3,0.7,3.3,msG,3.3,0.003,0.481,24,2320,2459.77,2.3,1
태안군 정당리,상,36°32′05.50″N,126°22′50.00″E,0,2.9,79.6,17.5,6.2,2.1,Z,4.7,0,0.562,10,340,14.38,1.9,4
태안군 정당리,중,36°32′05.00″N,126°23′10.00″E,0,11.5,73.1,15.4,5.6,2.2,sZ,3.8,0.021,0.512,16,2280,93.92,1.2,6
태안군 정당리,하,36°32′04.50″N,126°23′30.00″E,0,17,72.3,10.7,5.1,1.8,sZ,3,0,0.345,21,830,39.16,2.4,5
태안군 황도,상,36°35′17.00″N,126°23′10.00″E,0,63,32,5,3.9,1.2,zS,2.4,0,0.266,13,300,79.21,2.3,5
태안군 황도,중,36°34′56.00″N,126°23′29.00″E,0,57.2,36.2,6.6,4.1,1.5,zS,2.1,0,0.299,8,440,14.36,1.8,3
태안군 황도,하,36°34′35.00″N,126°23′48.00″E,0.1,67.9,26.5,5.5,3.6,1.7,(g)mS,2.6,0,0.283,17,940,124.11,2.3,5
태안군 달산리,상,36°39′30.00″N,126°17′35.00″E,0.2,99.8,0,0,2.3,0.5,(g)S,1.3,0,0.173,24,1340,116.97,2.7,3
태안군 달산리,중,36°39′27.00″N,126°17′26.00″E,0,100,0,0,2.8,0.3,S,1.8,0,0.206,22,3220,1152.68,1.8,5
태안군 달산리,하,36°39′24.00″N,126°17′17.00″E,0,100,0,0,2.8,0.3,S,1.9,0,0.191,20,2990,134.42,1.9,5
태안군 승언리,상,36°31′48.00″N,126°19′47.00″E,1.6,98.4,0,0,2.6,0.3,(g)S,1.3,0,0.178,8,170,8.92,1.9,4
태안군 승언리,중,36°31′48.00″N,126°19′42.00″E,0,100,0,0,2.6,0.2,S,1.1,0,0.062,17,830,14.88,2.3,6
태안군 승언리,하,36°31′48.00″N,126°19′37.00″E,0,100,0,0,2.6,0.3,S,1.2,0,0.128,7,540,34.07,1.6,5
태안군 고남면,상,36°24′32.00″N,126°22′56.00″E,0,100,0,0,2.2,0.3,S,1.1,0,0.192,12,3880,32.33,1.4,6
태안군 고남면,중,36°24′26.00″N,126°22′52.00″E,0,100,0,0,2.4,0.2,S,1.2,0,0.162,11,800,79.52,1.6,4
태안군 고남면,하,36°24′20.00″N,126°22′48.00″E,0,100,0,0,2.4,0.2,S,0.9,0,0.163,9,980,17.73,1.4,4
홍성군 궁리,상,36°34′58.00″N,126°27′44.00″E,2.8,53.3,30,13.9,4,3.3,(g)mS,3.1,0,0.436,10,340,115.33,1.6,4
홍성군 궁리,중,36°34′55.00″N,126°27′21.50″E,6.1,67.3,18.4,8.2,2.8,3.1,gmS,2.3,0,0.306,10,890,22.79,1.3,7
홍성군 궁리,하,36°34′52.00″N,126°26′59.00″E,1.1,72.5,20.3,6.1,3.1,2.2,(g)mS,2,0.006,0.217,13,1430,66.38,1.7,2
보령시 송학리,상,36°22′41.00″N,126°30′39.00″E,0,52.8,40,7.2,3.7,2.2,zS,3.1,0,0.419,9,480,2.79,1.6,4
보령시 송학리,중,36°22′30.00″N,126°30′20.50″E,0,50.4,42.4,7.2,4.1,1.9,zS,3.1,0,0.368,13,270,6.04,2.2,4
보령시 송학리,하,36°22′19.00″N,126°30′02.00″E,0,82.6,14.5,2.9,2.7,1.4,zS,1.6,0,0.159,9,250,1.26,1.7,5
보령시 주교리,상,36°21′47.00″N,126°31′50.00″E,0,30.5,61.8,7.7,4.6,1.8,sZ,3.1,0,0.365,9,280,8.69,1.9,4
보령시 주교리,중,36°21′33.00″N,126°31′16.00″E,0,41.8,44,14.2,4.5,2.8,sZ,4,0,0.515,15,460,914.28,2.1,1
보령시 주교리,하,36°21′19.00″N,126°30′42.00″E,0.6,92.3,5.3,1.8,1.6,1.2,(g)S,2.2,0,0.256,12,600,1627.53,1.9,1
보령시 남곡동,상,36°20′14.50″N,126°31′33.00″E,0.7,67.3,25.5,6.5,3.4,1.8,(g)mS,2.2,0,0.213,16,410,29.54,2.5,3
보령시 남곡동,중,36°20′23.00″N,126°31′14.00″E,0.7,72.7,19.7,6.9,3.3,2.2,(g)mS,2.8,0.002,0.242,16,670,440.88,2.1,4
보령시 남곡동,하,36°20′31.50″N,126°30′55.00″E,0,92.1,5.8,2.1,2.5,0.8,S,1.4,0,0.256,13,310,520.43,2.1,1
군산시 내흥동,상,35°59′20.00″N,126°44′34.00″E,0,3.5,55.6,40.9,8,2.9,M,8.1,0.15,1.458,10,1090,403.22,1.6,3
군산시 내흥동,중,35°59′35.00″N,126°44′24.00″E,0,2.3,55,42.7,8.1,2.8,M,8.2,0.088,1.434,10,1010,342.28,1.8,3
군산시 내흥동,하,35°59′50.00″N,126°44′14.00″E,0,1.6,62.1,36.3,7.7,2.8,M,7.1,0.02,1.176,12,430,57.98,2.1,2
군산시 선유도리,상,35°49′12.00″N,126°25′04.00″E,0.7,19.1,74.6,5.6,4.7,1.6,(g)M,2.4,0.021,0.509,13,480,389.4,1.8,4
군산시 선유도리,중,35°49′03.00″N,126°25′10.00″E,0.7,46.6,47.5,5.2,3.9,1.7,(g)M,2,0.026,0.314,9,240,794.05,2,1
군산시 선유도리,하,35°48′54.00″N,126°25′16.00″E,5.1,39.6,43.8,11.5,4.4,3,gM,3.2,0.124,0.392,9,310,1383.87,1.7,2
부안군 대항리,상,35°41′54.00″N,126°33′11.00″E,0,97.9,0.9,1.2,2.7,0.3,S,2,0,0.159,26,4970,285.06,2,6
부안군 대항리,중,35°41′59.00″N,126°32′57.00″E,0,100,0,0,2.8,0.3,S,1.8,0,0.138,20,1480,509.29,1.9,4
부안군 대항리,하,35°42′04.00″N,126°32′43.00″E,0,100,0,0,2.9,0.3,S,2,0,0.158,18,1110,106.39,1.9,4
영광군 하사리,상,35°15′49.00″N,126°18′53.00″E,0,4,64.4,31.6,7.2,2.8,Z,6.7,0.049,0.8,12,920,1039.97,1.9,1
영광군 하사리,중,35°15′53.00″N,126°18′05.00″E,0,11.8,77.4,10.8,5.1,1.7,sZ,2.5,0.047,0.237,8,190,448.59,1.8,1
영광군 하사리,하,35°15′57.00″N,126°17′17.00″E,0,10.9,66.3,22.8,6.4,2.6,sZ,4.7,0,0.496,8,220,3.16,1.6,4
영광군 두우리,상,35°12′27.00″N,126°17′54.00″E,0,97,1,2,1.9,0.7,S,1.5,0,0.177,9,460,92.33,1.6,5
영광군 두우리,중,35°11′31.00″N,126°17′24.00″E,9.9,79,7.9,3.2,1.6,1.9,gmS,2,0.016,0.181,17,940,16.8,2.2,4
영광군 두우리,하,35°10′35.00″N,126°16′54.00″E,3.8,64.2,23.2,8.8,3.3,2.7,(g)mS,3.2,0,0.311,14,260,72.91,2.5,6
무안군 연리,상,34°58′28.00″N,126°20′36.00″E,23.8,66,5.7,4.5,0.5,2.4,gmS,0.9,0.012,0.24,16,600,261.09,2.4,3
무안군 연리,중,34°58′47.00″N,126°20′20.00″E,1.4,53.8,23.1,21.7,4.1,4.1,(g)mS,4.6,0.008,0.8,14,490,8.16,2.2,5
무안군 연리,하,34°59′06.00″N,126°20′04.00″E,0,0.1,63.7,36.2,7.7,2.7,M,4.5,0,0.737,19,1180,38.24,2.1,4
무안군 하묘리,상,34°58′15.00″N,126°21′40.50″E,28.9,43,18.4,9.7,1.9,3.9,gmS,3.2,0.011,0.384,14,520,10.87,2.3,4
무안군 하묘리,중,34°58′13.00″N,126°22′01.00″E,0.3,2.7,53,44,8.2,2.8,(g)M,8.5,0.146,0.912,11,2570,64.68,1.2,7
무안군 하묘리,하,34°58′11.00″N,126°22′21.50″E,2,20.2,31.3,46.5,6.9,4.6,(g)M,4.8,0.043,0.716,21,13180,398.1,0.5,7
무안군 왕산리,상,34°52′20.00″N,126°23′38.00″E,0,0.3,45.3,54.4,8.8,2.7,M,8.9,0.022,1.05,20,7810,275.25,1.1,5
무안군 왕산리,중,34°52′20.00″N,126°23′25.00″E,0,0.2,57.3,42.5,7.6,2.8,M,6.3,0.017,0.654,21,1080,46.16,2.3,5
무안군 왕산리,하,34°52′20.00″N,126°23′12.00″E,0,1.7,65.8,32.5,7.4,2.8,Z,5.8,0,0.539,30,3630,232.61,2,5
무안군 평산리,상,35°01′46.00″N,126°25′08.00″E,28.9,56.7,9.2,5.1,0.6,2.7,gmS,1.1,0.001,0.271,13,640,80.95,2.1,5
무안군 평산리,중,35°02′12.00″N,126°25′00.00″E,16.4,72,6.4,5.2,0.7,2.5,gmS,1.2,0,0.354,18,1300,101.25,2.3,3
무안군 평산리,하,35°02′38.00″N,126°24′52.00″E,0.2,11.8,46.3,41.7,7.7,3.3,(g)M,6,0,0.229,26,1760,2784.71,2.3,1
자은도 대율리,상,34°53′49.00″N,126°05′09.00″E,0,0.9,86.2,12.9,5.9,1.7,Z,2.4,0,0.433,5,1610,85.09,0.3,6
자은도 대율리,중,34°53′41.00″N,126°05′34.00″E,0,0.4,85.7,13.9,5.9,1.8,Z,2.6,0,0.773,8,160,181.36,1.9,1
자은도 대율리,하,34°53′33.00″N,126°05′59.00″E,0,0.8,78.7,20.5,6.5,2.3,Z,3.2,0,0.807,11,2340,20.77,1.2,7
암태도 송곡리,상,34°50′02.00″N,126°07′26.00″E,0,0.1,59.6,40.3,8,2.6,M,4.6,0,0.493,7,400,3.7,1.2,7
암태도 송곡리,중,34°49′37.50″N,126°07′48.00″E,0,0.1,76.3,23.6,6.8,2.4,Z,3.3,0,0.517,8,400,38.98,1.5,3
암태도 송곡리,하,34°49′13.00″N,126°08′10.00″E,0,0.2,78.4,21.4,6.7,2.3,Z,3.4,0,0.46,8,470,6.88,1.6,5
압해도 신용리,상,34°52′37.00″N,126°16′38.00″E,0,2,68.1,29.9,7.2,2.6,Z,3.3,0.003,0.621,6,390,379.63,1.3,1
압해도 신용리,중,34°53′10.00″N,126°15′51.00″E,0,0.4,78.2,21.4,6.6,2.3,Z,3.2,0,0.52,10,2480,260.88,1.1,7
압해도 신용리,하,34°53′43.00″N,126°15′04.00″E,0,0.1,73.7,26.2,7,2.5,Z,3.2,0.004,0.484,9,900,68.12,1.2,5
압해도 대천리,상,34°51′12.00″N,126°17′12.00″E,0,0.7,65.2,34.1,7.7,2.6,M,4.4,0,0.569,1,10,0.03,0,
압해도 대천리,중,34°50′42.00″N,126°17′06.00″E,0,0.5,64.1,35.4,7.7,2.7,M,5,0,0.852,19,700,20.33,2.4,2
압해도 대천리,하,34°50′12.00″N,126°17′00.00″E,0,15.7,51.7,32.6,7,3.2,sM,4.5,0.07,0.95,25,1880,324.22,1.9,5
압해도 신장리,상,34°50′32.00″N,126°22′18.00″E,0.2,8.2,66.2,25.4,6.8,2.8,(g)M,5.9,0.004,0.564,17,1080,140.47,2.3,3
압해도 신장리,중,34°50′31.00″N,126°22′29.00″E,0,0.2,71.1,28.7,7.3,2.6,Z,5.4,0,0.431,12,230,3.21,2.3,5
압해도 신장리,하,34°50′30.00″N,126°22′40.00″E,0,0.3,65.8,33.9,7.6,2.8,M,6.5,0,0.527,22,580,12.87,2.6,5
팔금도 당고리,상,34°48′04.00″N,126°09′18.00″E,0,0.8,88.3,10.9,5.7,1.6,Z,2.2,0,0.266,8,2780,34.86,0.6,7
팔금도 당고리,중,34°48′14.00″N,126°09′39.00″E,0,0.3,81.8,17.9,6.3,2.1,Z,2.8,0,0.362,11,1670,19,1.4,7
팔금도 당고리,하,34°48′24.00″N,126°10′00.00″E,0,0.7,76.7,22.6,6.7,2.4,Z,3.4,0,0.692,11,380,19.55,1.8,4
신안군 박지도,상,34°42′07.00″N,126°07′24.00″E,0,0.1,67.2,32.7,7.5,2.5,Z,4.5,0,0.836,9,1980,45.71,0.6,7
신안군 박지도,중,34°41′50.00″N,126°07′07.00″E,0,0.4,68.4,31.2,7.4,2.6,Z,4.1,0,0.569,18,1010,19.44,2.6,3
신안군 박지도,하,34°41′33.00″N,126°06′50.00″E,0,0.2,67.4,32.4,7.3,2.6,Z,4.8,0,0.684,19,850,10.6,2.3,5
해남군 무고리,상,34°37′50.00″N,126°17′06.00″E,1.4,17.4,61,20.2,5.5,3.3,(g)M,4.3,0,0.747,7,120,84.42,1.9,3
해남군 무고리,중,34°37′45.00″N,126°17′12.00″E,0,0.2,67.1,32.7,7.4,2.7,Z,4.3,0,0.971,19,2540,111.72,1.6,5
해남군 무고리,하,34°37′40.00″N,126°17′18.00″E,0,0.1,59.5,40.4,8,2.7,M,5.2,0,1.173,21,3110,337.68,1.7,5
해남군 부곡리,상,34°33′40.00″N,126°22′56.00″E,0.1,0.9,77.2,21.8,6.8,2.3,(g)M,3.2,0,0.445,9,260,129.22,1.8,4
해남군 부곡리,중,34°33′30.00″N,126°22′48.00″E,0,0.1,64.5,35.4,7.6,2.6,M,3.8,0,0.562,7,370,28.78,1,5
해남군 부곡리,하,34°33′20.00″N,126°22′40.00″E,0,0.2,58.6,41.2,7.6,2.4,M,5.2,0,0.807,7,440,35.41,1.2,3
진도군 소포리,상,34°29′44.00″N,126°11′29.00″E,0,0.7,67.6,31.7,7.4,2.6,Z,4.7,0,0.687,10,190,36.91,2.1,4
진도군 소포리,중,34°29′55.50″N,126°11′43.00″E,0,0.3,67.2,32.5,7.3,2.6,Z,4,0,0.976,31,1550,873.61,2.7,2
진도군 소포리,하,34°30′07.00″N,126°11′57.00″E,0,2.5,60.8,36.7,7.5,2.8,M,5.6,0.088,0.814,15,750,29.44,2.3,5
진도군 지막리,상,34°28′55.00″N,126°21′42.00″E,0,0.3,49.8,49.9,8.6,2.5,M,5.9,0,0.949,10,720,68.7,1.8,3
진도군 지막리,중,34°28′42.50″N,126°21′59.00″E,0,1,70,29,7.1,2.5,Z,4.8,0,0.651,16,380,45.84,2.5,4
진도군 지막리,하,34°28′30.00″N,126°22′16.00″E,0,0.5,59.9,39.6,7.8,2.7,M,5.2,0.102,0.818,17,440,9.82,2.4,5
진도군 죽림리,상,34°23′34.00″N,126°15′40.00″E,39.7,59,0.7,0.6,0,2.3,sG,1.4,0,0.206,13,2860,10.93,1.4,5
진도군 죽림리,중,34°23′30.00″N,126°15′50.00″E,0,97.5,0.8,1.7,2.7,0.4,S,1.2,0,0.216,12,430,11.82,2.1,6
진도군 죽림리,하,34°23′26.00″N,126°16′00.00″E,0.6,97.1,0.7,1.6,2.7,0.5,(g)S,1.3,0,0.226,13,760,13.28,2,6
해남군 가차리,상,34°24′39.00″N,126°30′35.00″E,0,0.1,44.7,55.2,8.9,2.5,M,6.7,0,1.07,8,520,108.97,1.5,5
해남군 가차리,중,34°24′49.00″N,126°30′22.50″E,0,0.1,59,40.9,8,2.7,M,5.8,0,0.876,19,6250,79.71,0.8,7
해남군 가차리,하,34°24′59.00″N,126°30′10.00″E,0,0.1,56,43.9,8.1,2.7,M,5.9,0,0.964,18,1960,121.24,1.8,5
해남군 산정리,상,34°21′52.00″N,126°30′14.00″E,0,0.7,41.3,58,9,2.5,M,6.6,0,1.3,8,950,84.41,1.1,5
해남군 산정리,중,34°21′42.00″N,126°30′18.00″E,0,3.6,54.8,41.6,8,2.8,M,5.2,0,0.957,8,260,24.59,1.8,3
해남군 산정리,하,34°21′32.00″N,126°30′22.00″E,0.1,3.9,50.3,45.7,8.2,2.8,(g)M,5.2,0.181,0.87,14,790,95.7,2,5
완도군 신학리,상,34°22′50.00″N,126°38′20.00″E,62.5,31.8,3.1,2.6,-1.3,2.3,msG,2.8,0.136,0.6,17,25310,236.36,1.8,6
완도군 신학리,중,34°22′48.00″N,126°38′10.00″E,0,40.3,40.3,19.4,5.3,3.2,sZ,3.1,0.031,0.597,24,1550,112.63,1.7,5
완도군 신학리,하,34°22′46.00″N,126°38′00.00″E,0.1,33.5,37.8,28.6,6,3.7,(g)M,3.7,0.119,0.725,36,17630,380.05,1.1,4
완도군 불목리,상,34°23′54.00″N,126°41′34.00″E,5.4,28,46,20.6,5.2,3.9,gM,3.2,0.004,0.705,6,170,33.04,1.5,4
완도군 불목리,중,34°24′10.00″N,126°41′35.00″E,0,12.5,62.4,25.1,6.4,2.8,sZ,3.6,0.22,0.858,25,840,18.81,2.4,5
완도군 불목리,하,34°24′26.00″N,126°41′36.00″E,0,7.3,57.7,35,7.2,3,M,5.6,0.196,1.212,37,2900,63.43,2.5,6
완도군 장좌리,상,34°21′20.00″N,126°43′54.00″E,6,63.3,21.2,9.5,3,3.2,gmS,2.2,0.006,0.544,10,280,64.6,1.9,2
완도군 장좌리,중,34°21′20.00″N,126°44′02.00″E,1.7,65.2,23.3,9.8,3.4,2.9,(g)mS,2.1,0.003,0.451,13,860,67.68,1,7
